study.ID,study,species,treatment,control,N,n,turbine.kW,n.turbines,duration.yrs
6,"Kerlinger, P. (2002). An Assessment of the Impacts of Green Mountain Power Corporationês Wind Power Facility on Breeding and Migrating Birds in Searsburg, Vermont. Golden, Colorado, National Renewable Energy Laboratory.","Certhia	americana",0.00001,1,21,21,550,11,1
6,"Kerlinger, P. (2002). An Assessment of the Impacts of Green Mountain Power Corporationês Wind Power Facility on Breeding and Migrating Birds in Searsburg, Vermont. Golden, Colorado, National Renewable Energy Laboratory.","Spizella	passerina",0.00001,1,21,21,550,11,1
6,"Kerlinger, P. (2002). An Assessment of the Impacts of Green Mountain Power Corporationês Wind Power Facility on Breeding and Migrating Birds in Searsburg, Vermont. Golden, Colorado, National Renewable Energy Laboratory.",Icterus galbula ,1,0.00001,21,21,550,11,1
6,"Kerlinger, P. (2002). An Assessment of the Impacts of Green Mountain Power Corporationês Wind Power Facility on Breeding and Migrating Birds in Searsburg, Vermont. Golden, Colorado, National Renewable Energy Laboratory.","Chaetura	pelagica",1,0.00001,21,21,550,11,1
6,"Kerlinger, P. (2002). An Assessment of the Impacts of Green Mountain Power Corporationês Wind Power Facility on Breeding and Migrating Birds in Searsburg, Vermont. Golden, Colorado, National Renewable Energy Laboratory.","Piranga	olivacea",1,0.00001,21,21,550,11,1
6,"Kerlinger, P. (2002). An Assessment of the Impacts of Green Mountain Power Corporationês Wind Power Facility on Breeding and Migrating Birds in Searsburg, Vermont. Golden, Colorado, National Renewable Energy Laboratory.","Accipiter	gentilis",1,0.00001,21,21,550,11,1
6,"Kerlinger, P. (2002). An Assessment of the Impacts of Green Mountain Power Corporationês Wind Power Facility on Breeding and Migrating Birds in Searsburg, Vermont. Golden, Colorado, National Renewable Energy Laboratory.","Falco	peregrinus",1,0.00001,21,21,550,11,1
6,"Kerlinger, P. (2002). An Assessment of the Impacts of Green Mountain Power Corporationês Wind Power Facility on Breeding and Migrating Birds in Searsburg, Vermont. Golden, Colorado, National Renewable Energy Laboratory.","Bombycilla	cedrorum",1,0.5,21,21,550,11,1
6,"Kerlinger, P. (2002). An Assessment of the Impacts of Green Mountain Power Corporationês Wind Power Facility on Breeding and Migrating Birds in Searsburg, Vermont. Golden, Colorado, National Renewable Energy Laboratory.","Geothlypis	trichas",1,0.5,21,21,550,11,1
6,"Kerlinger, P. (2002). An Assessment of the Impacts of Green Mountain Power Corporationês Wind Power Facility on Breeding and Migrating Birds in Searsburg, Vermont. Golden, Colorado, National Renewable Energy Laboratory.","Catharus	minimus",1,0.5,21,21,550,11,1
6,"Kerlinger, P. (2002). An Assessment of the Impacts of Green Mountain Power Corporationês Wind Power Facility on Breeding and Migrating Birds in Searsburg, Vermont. Golden, Colorado, National Renewable Energy Laboratory.","Regulus	satrapa",1,0.5,21,21,550,11,1
6,"Kerlinger, P. (2002). An Assessment of the Impacts of Green Mountain Power Corporationês Wind Power Facility on Breeding and Migrating Birds in Searsburg, Vermont. Golden, Colorado, National Renewable Energy Laboratory.","Pheucticus	ludovicianus",1,0.5,21,21,550,11,1
6,"Kerlinger, P. (2002). An Assessment of the Impacts of Green Mountain Power Corporationês Wind Power Facility on Breeding and Migrating Birds in Searsburg, Vermont. Golden, Colorado, National Renewable Energy Laboratory.","Molothrus	ater",1,1,21,21,550,11,1
6,"Kerlinger, P. (2002). An Assessment of the Impacts of Green Mountain Power Corporationês Wind Power Facility on Breeding and Migrating Birds in Searsburg, Vermont. Golden, Colorado, National Renewable Energy Laboratory.","Cyanocitta	cristata",1,3,21,21,550,11,1
6,"Kerlinger, P. (2002). An Assessment of the Impacts of Green Mountain Power Corporationês Wind Power Facility on Breeding and Migrating Birds in Searsburg, Vermont. Golden, Colorado, National Renewable Energy Laboratory.","Buteo	lineatus",2,0.00001,21,21,550,11,1
6,"Kerlinger, P. (2002). An Assessment of the Impacts of Green Mountain Power Corporationês Wind Power Facility on Breeding and Migrating Birds in Searsburg, Vermont. Golden, Colorado, National Renewable Energy Laboratory.","Sitta	canadensis",2,2,21,21,550,11,1
6,"Kerlinger, P. (2002). An Assessment of the Impacts of Green Mountain Power Corporationês Wind Power Facility on Breeding and Migrating Birds in Searsburg, Vermont. Golden, Colorado, National Renewable Energy Laboratory.",Poecile atricapilla ,2,4,21,21,550,11,1
6,"Kerlinger, P. (2002). An Assessment of the Impacts of Green Mountain Power Corporationês Wind Power Facility on Breeding and Migrating Birds in Searsburg, Vermont. Golden, Colorado, National Renewable Energy Laboratory.",Turdus migratorius ,2,5,21,21,550,11,1
6,"Kerlinger, P. (2002). An Assessment of the Impacts of Green Mountain Power Corporationês Wind Power Facility on Breeding and Migrating Birds in Searsburg, Vermont. Golden, Colorado, National Renewable Energy Laboratory.",Corvus brachyrhynchos ,3,0.00001,21,21,550,11,1
6,"Kerlinger, P. (2002). An Assessment of the Impacts of Green Mountain Power Corporationês Wind Power Facility on Breeding and Migrating Birds in Searsburg, Vermont. Golden, Colorado, National Renewable Energy Laboratory.","Haliaeetus	leucocephalus",3,0.00001,21,21,550,11,1
6,"Kerlinger, P. (2002). An Assessment of the Impacts of Green Mountain Power Corporationês Wind Power Facility on Breeding and Migrating Birds in Searsburg, Vermont. Golden, Colorado, National Renewable Energy Laboratory.","Falco	columbarius",3,0.00001,21,21,550,11,1
6,"Kerlinger, P. (2002). An Assessment of the Impacts of Green Mountain Power Corporationês Wind Power Facility on Breeding and Migrating Birds in Searsburg, Vermont. Golden, Colorado, National Renewable Energy Laboratory.","Vireo	solitarius",3,0.5,21,21,550,11,1
6,"Kerlinger, P. (2002). An Assessment of the Impacts of Green Mountain Power Corporationês Wind Power Facility on Breeding and Migrating Birds in Searsburg, Vermont. Golden, Colorado, National Renewable Energy Laboratory.",Dendroica fusca ,3,3,21,21,550,11,1
6,"Kerlinger, P. (2002). An Assessment of the Impacts of Green Mountain Power Corporationês Wind Power Facility on Breeding and Migrating Birds in Searsburg, Vermont. Golden, Colorado, National Renewable Energy Laboratory.",Setophaga ruticilla ,3,3,21,21,550,11,1
6,"Kerlinger, P. (2002). An Assessment of the Impacts of Green Mountain Power Corporationês Wind Power Facility on Breeding and Migrating Birds in Searsburg, Vermont. Golden, Colorado, National Renewable Energy Laboratory.","Dendroica	pensylvanica",3,3,21,21,550,11,1
6,"Kerlinger, P. (2002). An Assessment of the Impacts of Green Mountain Power Corporationês Wind Power Facility on Breeding and Migrating Birds in Searsburg, Vermont. Golden, Colorado, National Renewable Energy Laboratory.","Carpodacus	purpureus",4,5,21,21,550,11,1
6,"Kerlinger, P. (2002). An Assessment of the Impacts of Green Mountain Power Corporationês Wind Power Facility on Breeding and Migrating Birds in Searsburg, Vermont. Golden, Colorado, National Renewable Energy Laboratory.",Mniotilta varia ,5,3,21,21,550,11,1
6,"Kerlinger, P. (2002). An Assessment of the Impacts of Green Mountain Power Corporationês Wind Power Facility on Breeding and Migrating Birds in Searsburg, Vermont. Golden, Colorado, National Renewable Energy Laboratory.","Troglodytes	troglodytes",6,3,21,21,550,11,1
6,"Kerlinger, P. (2002). An Assessment of the Impacts of Green Mountain Power Corporationês Wind Power Facility on Breeding and Migrating Birds in Searsburg, Vermont. Golden, Colorado, National Renewable Energy Laboratory.","Catharus	guttatus",7,9,21,21,550,11,1
6,"Kerlinger, P. (2002). An Assessment of the Impacts of Green Mountain Power Corporationês Wind Power Facility on Breeding and Migrating Birds in Searsburg, Vermont. Golden, Colorado, National Renewable Energy Laboratory.","Cathartes	aura",8,3,21,21,550,11,1
6,"Kerlinger, P. (2002). An Assessment of the Impacts of Green Mountain Power Corporationês Wind Power Facility on Breeding and Migrating Birds in Searsburg, Vermont. Golden, Colorado, National Renewable Energy Laboratory.","Accipiter	cooperii",9,6,21,21,550,11,1
6,"Kerlinger, P. (2002). An Assessment of the Impacts of Green Mountain Power Corporationês Wind Power Facility on Breeding and Migrating Birds in Searsburg, Vermont. Golden, Colorado, National Renewable Energy Laboratory.","Dendroica	virens",9,8,21,21,550,11,1
6,"Kerlinger, P. (2002). An Assessment of the Impacts of Green Mountain Power Corporationês Wind Power Facility on Breeding and Migrating Birds in Searsburg, Vermont. Golden, Colorado, National Renewable Energy Laboratory.","Circus	cyaneus",10,0.00001,21,21,550,11,1
6,"Kerlinger, P. (2002). An Assessment of the Impacts of Green Mountain Power Corporationês Wind Power Facility on Breeding and Migrating Birds in Searsburg, Vermont. Golden, Colorado, National Renewable Energy Laboratory.","Dendroica	magnolia",11,11,21,21,550,11,1
6,"Kerlinger, P. (2002). An Assessment of the Impacts of Green Mountain Power Corporationês Wind Power Facility on Breeding and Migrating Birds in Searsburg, Vermont. Golden, Colorado, National Renewable Energy Laboratory.",Dendroica striata ,12,13,21,21,550,11,1
6,"Kerlinger, P. (2002). An Assessment of the Impacts of Green Mountain Power Corporationês Wind Power Facility on Breeding and Migrating Birds in Searsburg, Vermont. Golden, Colorado, National Renewable Energy Laboratory.","Pandion	haliaetus",13,6,21,21,550,11,1
6,"Kerlinger, P. (2002). An Assessment of the Impacts of Green Mountain Power Corporationês Wind Power Facility on Breeding and Migrating Birds in Searsburg, Vermont. Golden, Colorado, National Renewable Energy Laboratory.","Wilsonia	canadensis",15,6,21,21,550,11,1
6,"Kerlinger, P. (2002). An Assessment of the Impacts of Green Mountain Power Corporationês Wind Power Facility on Breeding and Migrating Birds in Searsburg, Vermont. Golden, Colorado, National Renewable Energy Laboratory.","Dendroica	coronata",15,32,21,21,550,11,1
6,"Kerlinger, P. (2002). An Assessment of the Impacts of Green Mountain Power Corporationês Wind Power Facility on Breeding and Migrating Birds in Searsburg, Vermont. Golden, Colorado, National Renewable Energy Laboratory.","Vireo	olivaceus",17,6,21,21,550,11,1
6,"Kerlinger, P. (2002). An Assessment of the Impacts of Green Mountain Power Corporationês Wind Power Facility on Breeding and Migrating Birds in Searsburg, Vermont. Golden, Colorado, National Renewable Energy Laboratory.","Dendroica	caerulescens",17,8,21,21,550,11,1
6,"Kerlinger, P. (2002). An Assessment of the Impacts of Green Mountain Power Corporationês Wind Power Facility on Breeding and Migrating Birds in Searsburg, Vermont. Golden, Colorado, National Renewable Energy Laboratory.","Seiurus	aurocapillus",21,6,21,21,550,11,1
6,"Kerlinger, P. (2002). An Assessment of the Impacts of Green Mountain Power Corporationês Wind Power Facility on Breeding and Migrating Birds in Searsburg, Vermont. Golden, Colorado, National Renewable Energy Laboratory.","Zonotrichia	albicollis",22,14,21,21,550,11,1
6,"Kerlinger, P. (2002). An Assessment of the Impacts of Green Mountain Power Corporationês Wind Power Facility on Breeding and Migrating Birds in Searsburg, Vermont. Golden, Colorado, National Renewable Energy Laboratory.","Catharus	ustulatus",24,4,21,21,550,11,1
6,"Kerlinger, P. (2002). An Assessment of the Impacts of Green Mountain Power Corporationês Wind Power Facility on Breeding and Migrating Birds in Searsburg, Vermont. Golden, Colorado, National Renewable Energy Laboratory.","Junco	hyemalis",25,29,21,21,550,11,1
6,"Kerlinger, P. (2002). An Assessment of the Impacts of Green Mountain Power Corporationês Wind Power Facility on Breeding and Migrating Birds in Searsburg, Vermont. Golden, Colorado, National Renewable Energy Laboratory.","Falco	sparverius",33,0.00001,21,21,550,11,1
6,"Kerlinger, P. (2002). An Assessment of the Impacts of Green Mountain Power Corporationês Wind Power Facility on Breeding and Migrating Birds in Searsburg, Vermont. Golden, Colorado, National Renewable Energy Laboratory.","Buteo	platypterus",96,6,21,21,550,11,1
6,"Kerlinger, P. (2002). An Assessment of the Impacts of Green Mountain Power Corporationês Wind Power Facility on Breeding and Migrating Birds in Searsburg, Vermont. Golden, Colorado, National Renewable Energy Laboratory.","Accipiter	striatus",121,6,21,21,550,11,1
6,"Kerlinger, P. (2002). An Assessment of the Impacts of Green Mountain Power Corporationês Wind Power Facility on Breeding and Migrating Birds in Searsburg, Vermont. Golden, Colorado, National Renewable Energy Laboratory.","Buteo	jamaicensis",173,15,21,21,550,11,1
7,"Ketzenberg, C., Exo, K.M., Reichenbach, M., & Castor, M. (2002). Einfluss von Windkraftanlagen auf bru_tende Wiesenvo_gel. Natur und Landschaft 77: 144-153. (translated by Ulrike Lange)",Limosa limosa,0.00001,0.00001,4,4,550,19,4
7,"Ketzenberg, C., Exo, K.M., Reichenbach, M., & Castor, M. (2002). Einfluss von Windkraftanlagen auf bru_tende Wiesenvo_gel. Natur und Landschaft 77: 144-153. (translated by Ulrike Lange)",Tringa totanus,0.00001,0.14,4,4,550,19,4
7,"Ketzenberg, C., Exo, K.M., Reichenbach, M., & Castor, M. (2002). Einfluss von Windkraftanlagen auf bru_tende Wiesenvo_gel. Natur und Landschaft 77: 144-153. (translated by Ulrike Lange)",Tringa totanus,0.07,0.05,4,4,550,19,4
7,"Ketzenberg, C., Exo, K.M., Reichenbach, M., & Castor, M. (2002). Einfluss von Windkraftanlagen auf bru_tende Wiesenvo_gel. Natur und Landschaft 77: 144-153. (translated by Ulrike Lange)",Tringa totanus,0.09,0.17,4,4,550,19,4
7,"Ketzenberg, C., Exo, K.M., Reichenbach, M., & Castor, M. (2002). Einfluss von Windkraftanlagen auf bru_tende Wiesenvo_gel. Natur und Landschaft 77: 144-153. (translated by Ulrike Lange)",Limosa limosa,0.12,0.00001,4,4,550,19,4
7,"Ketzenberg, C., Exo, K.M., Reichenbach, M., & Castor, M. (2002). Einfluss von Windkraftanlagen auf bru_tende Wiesenvo_gel. Natur und Landschaft 77: 144-153. (translated by Ulrike Lange)",Haematopus ostralegus,0.12,0.08,4,4,550,19,4
7,"Ketzenberg, C., Exo, K.M., Reichenbach, M., & Castor, M. (2002). Einfluss von Windkraftanlagen auf bru_tende Wiesenvo_gel. Natur und Landschaft 77: 144-153. (translated by Ulrike Lange)",Tringa totanus,0.2,0.09,4,4,550,19,4
7,"Ketzenberg, C., Exo, K.M., Reichenbach, M., & Castor, M. (2002). Einfluss von Windkraftanlagen auf bru_tende Wiesenvo_gel. Natur und Landschaft 77: 144-153. (translated by Ulrike Lange)",Haematopus ostralegus,0.22,0.00001,4,4,550,19,4
7,"Ketzenberg, C., Exo, K.M., Reichenbach, M., & Castor, M. (2002). Einfluss von Windkraftanlagen auf bru_tende Wiesenvo_gel. Natur und Landschaft 77: 144-153. (translated by Ulrike Lange)",Limosa limosa,0.26,0.26,4,4,550,19,4
7,"Ketzenberg, C., Exo, K.M., Reichenbach, M., & Castor, M. (2002). Einfluss von Windkraftanlagen auf bru_tende Wiesenvo_gel. Natur und Landschaft 77: 144-153. (translated by Ulrike Lange)",Haematopus ostralegus,0.27,0.27,4,4,550,19,4
7,"Ketzenberg, C., Exo, K.M., Reichenbach, M., & Castor, M. (2002). Einfluss von Windkraftanlagen auf bru_tende Wiesenvo_gel. Natur und Landschaft 77: 144-153. (translated by Ulrike Lange)",Vanellus vanellus,0.34,0.19,4,4,550,19,4
7,"Ketzenberg, C., Exo, K.M., Reichenbach, M., & Castor, M. (2002). Einfluss von Windkraftanlagen auf bru_tende Wiesenvo_gel. Natur und Landschaft 77: 144-153. (translated by Ulrike Lange)",Haematopus ostralegus,0.34,0.2,4,4,550,19,4
7,"Ketzenberg, C., Exo, K.M., Reichenbach, M., & Castor, M. (2002). Einfluss von Windkraftanlagen auf bru_tende Wiesenvo_gel. Natur und Landschaft 77: 144-153. (translated by Ulrike Lange)",Limosa limosa,0.35,0.35,4,4,550,19,4
7,"Ketzenberg, C., Exo, K.M., Reichenbach, M., & Castor, M. (2002). Einfluss von Windkraftanlagen auf bru_tende Wiesenvo_gel. Natur und Landschaft 77: 144-153. (translated by Ulrike Lange)",Vanellus vanellus,0.9,1.66,4,4,550,19,4
7,"Ketzenberg, C., Exo, K.M., Reichenbach, M., & Castor, M. (2002). Einfluss von Windkraftanlagen auf bru_tende Wiesenvo_gel. Natur und Landschaft 77: 144-153. (translated by Ulrike Lange)",Vanellus vanellus,1.17,1.46,4,4,550,19,4
7,"Ketzenberg, C., Exo, K.M., Reichenbach, M., & Castor, M. (2002). Einfluss von Windkraftanlagen auf bru_tende Wiesenvo_gel. Natur und Landschaft 77: 144-153. (translated by Ulrike Lange)",Vanellus vanellus,1.23,1.01,4,4,550,19,4
8,"Larsson, A. K. (1994). The Environmental Impact from an Offshore Plant. Wind Engineering 18: 213_ 218.",Somateria mollissima ,0.3,8.4,6,28,220,1,1
8,"Larsson, A. K. (1994). The Environmental Impact from an Offshore Plant. Wind Engineering 18: 213_ 218.",Cygnus olor ,0.8,3.4,6,28,220,1,1
8,"Larsson, A. K. (1994). The Environmental Impact from an Offshore Plant. Wind Engineering 18: 213_ 218.",Mergus serrator ,0.8,3.9,6,28,220,1,1
8,"Larsson, A. K. (1994). The Environmental Impact from an Offshore Plant. Wind Engineering 18: 213_ 218.",Tadorna tadorna ,1.6,2.6,6,28,220,1,1
8,"Larsson, A. K. (1994). The Environmental Impact from an Offshore Plant. Wind Engineering 18: 213_ 218.",Anas platyrhynchos ,1.7,3.4,6,28,220,1,1
8,"Larsson, A. K. (1994). The Environmental Impact from an Offshore Plant. Wind Engineering 18: 213_ 218.",Clangula hyemalis ,10.2,21.6,6,28,220,1,1
9,"Meek, E. R., Ribbands, J.B., Christer, W.G., Davey, P.R. & Higginson, I. (1993). The effects of aero-generators on moorland bird populations in the Orkney Islands, Scotland. Bird Study 40: 140-143.",Anseriformes,9.2,4.6,2,9,275,2,6
9,"Meek, E. R., Ribbands, J.B., Christer, W.G., Davey, P.R. & Higginson, I. (1993). The effects of aero-generators on moorland bird populations in the Orkney Islands, Scotland. Bird Study 40: 140-143.",Charadriformes,25,15.7,2,9,275,2,6
9,"Meek, E. R., Ribbands, J.B., Christer, W.G., Davey, P.R. & Higginson, I. (1993). The effects of aero-generators on moorland bird populations in the Orkney Islands, Scotland. Bird Study 40: 140-143.",Passeriformes,25.4,50.1,2,9,275,2,6
10,"Phillips, J. F. (1994). The effects of a windfarm on the upland breeding bird communities of Bryn Titli, mid-Wales: 1993-1994. Newtown, RSPB","Carduelis	chloris",0.00001,0.00001,4,14,450,22,1
10,"Phillips, J. F. (1994). The effects of a windfarm on the upland breeding bird communities of Bryn Titli, mid-Wales: 1993-1994. Newtown, RSPB",Corvus frugilegus,0.00001,0.00001,4,14,450,22,1
10,"Phillips, J. F. (1994). The effects of a windfarm on the upland breeding bird communities of Bryn Titli, mid-Wales: 1993-1994. Newtown, RSPB","Falco	tinnunculus",0.00001,0.125,4,14,450,22,1
10,"Phillips, J. F. (1994). The effects of a windfarm on the upland breeding bird communities of Bryn Titli, mid-Wales: 1993-1994. Newtown, RSPB","Parus	palustris",0.00001,0.125,4,14,450,22,1
10,"Phillips, J. F. (1994). The effects of a windfarm on the upland breeding bird communities of Bryn Titli, mid-Wales: 1993-1994. Newtown, RSPB","Sitta	europaea",0.00001,0.125,4,14,450,22,1
10,"Phillips, J. F. (1994). The effects of a windfarm on the upland breeding bird communities of Bryn Titli, mid-Wales: 1993-1994. Newtown, RSPB",Sturnus vulgaris,0.00001,0.125,4,14,450,22,1
10,"Phillips, J. F. (1994). The effects of a windfarm on the upland breeding bird communities of Bryn Titli, mid-Wales: 1993-1994. Newtown, RSPB",Sylvia communis,0.00001,0.125,4,14,450,22,1
10,"Phillips, J. F. (1994). The effects of a windfarm on the upland breeding bird communities of Bryn Titli, mid-Wales: 1993-1994. Newtown, RSPB","Anas	platyrhynchos",0.00001,0.25,4,14,450,22,1
10,"Phillips, J. F. (1994). The effects of a windfarm on the upland breeding bird communities of Bryn Titli, mid-Wales: 1993-1994. Newtown, RSPB",Carduelis spinus,0.00001,0.5,4,14,450,22,1
10,"Phillips, J. F. (1994). The effects of a windfarm on the upland breeding bird communities of Bryn Titli, mid-Wales: 1993-1994. Newtown, RSPB","Pyrrhula	pyrrhula",0.00001,0.625,4,14,450,22,1
10,"Phillips, J. F. (1994). The effects of a windfarm on the upland breeding bird communities of Bryn Titli, mid-Wales: 1993-1994. Newtown, RSPB","Falco	peregrinus",0.16666667,0.00001,4,14,450,22,1
10,"Phillips, J. F. (1994). The effects of a windfarm on the upland breeding bird communities of Bryn Titli, mid-Wales: 1993-1994. Newtown, RSPB",Parus montanus,0.16666667,0.00001,4,14,450,22,1
10,"Phillips, J. F. (1994). The effects of a windfarm on the upland breeding bird communities of Bryn Titli, mid-Wales: 1993-1994. Newtown, RSPB","Motacilla	cinerea",0.16666667,0.125,4,14,450,22,1
10,"Phillips, J. F. (1994). The effects of a windfarm on the upland breeding bird communities of Bryn Titli, mid-Wales: 1993-1994. Newtown, RSPB","Garrulus	glandarius",0.16666667,0.125,4,14,450,22,1
10,"Phillips, J. F. (1994). The effects of a windfarm on the upland breeding bird communities of Bryn Titli, mid-Wales: 1993-1994. Newtown, RSPB","Aegithalos	caudatus",0.16666667,0.125,4,14,450,22,1
10,"Phillips, J. F. (1994). The effects of a windfarm on the upland breeding bird communities of Bryn Titli, mid-Wales: 1993-1994. Newtown, RSPB","Emberiza	schoeniclus",0.16666667,0.125,4,14,450,22,1
10,"Phillips, J. F. (1994). The effects of a windfarm on the upland breeding bird communities of Bryn Titli, mid-Wales: 1993-1994. Newtown, RSPB",Hirundo rustica,0.16666667,0.125,4,14,450,22,1
10,"Phillips, J. F. (1994). The effects of a windfarm on the upland breeding bird communities of Bryn Titli, mid-Wales: 1993-1994. Newtown, RSPB","Corvus	monedula",0.16666667,0.25,4,14,450,22,1
10,"Phillips, J. F. (1994). The effects of a windfarm on the upland breeding bird communities of Bryn Titli, mid-Wales: 1993-1994. Newtown, RSPB",Certhia familiaris,0.16666667,0.25,4,14,450,22,1
10,"Phillips, J. F. (1994). The effects of a windfarm on the upland breeding bird communities of Bryn Titli, mid-Wales: 1993-1994. Newtown, RSPB",Phylloscopus sibilatrix,0.16666667,0.25,4,14,450,22,1
10,"Phillips, J. F. (1994). The effects of a windfarm on the upland breeding bird communities of Bryn Titli, mid-Wales: 1993-1994. Newtown, RSPB","Parus	ater",0.16666667,0.625,4,14,450,22,1
10,"Phillips, J. F. (1994). The effects of a windfarm on the upland breeding bird communities of Bryn Titli, mid-Wales: 1993-1994. Newtown, RSPB","Passer	domesticus",0.33333333,0.00001,4,14,450,22,1
10,"Phillips, J. F. (1994). The effects of a windfarm on the upland breeding bird communities of Bryn Titli, mid-Wales: 1993-1994. Newtown, RSPB",Saxicola torquata,0.33333333,0.00001,4,14,450,22,1
10,"Phillips, J. F. (1994). The effects of a windfarm on the upland breeding bird communities of Bryn Titli, mid-Wales: 1993-1994. Newtown, RSPB","Sylvia	atricapilla",0.33333333,0.25,4,14,450,22,1
10,"Phillips, J. F. (1994). The effects of a windfarm on the upland breeding bird communities of Bryn Titli, mid-Wales: 1993-1994. Newtown, RSPB","Carduelis	carduelis",0.33333333,0.25,4,14,450,22,1
10,"Phillips, J. F. (1994). The effects of a windfarm on the upland breeding bird communities of Bryn Titli, mid-Wales: 1993-1994. Newtown, RSPB","Turdus	viscivorus",0.33333333,0.25,4,14,450,22,1
10,"Phillips, J. F. (1994). The effects of a windfarm on the upland breeding bird communities of Bryn Titli, mid-Wales: 1993-1994. Newtown, RSPB","Corvus	corone",0.33333333,0.5,4,14,450,22,1
10,"Phillips, J. F. (1994). The effects of a windfarm on the upland breeding bird communities of Bryn Titli, mid-Wales: 1993-1994. Newtown, RSPB","Prunella	modularis",0.33333333,0.625,4,14,450,22,1
10,"Phillips, J. F. (1994). The effects of a windfarm on the upland breeding bird communities of Bryn Titli, mid-Wales: 1993-1994. Newtown, RSPB","Corvus	corax",0.5,0.00001,4,14,450,22,1
10,"Phillips, J. F. (1994). The effects of a windfarm on the upland breeding bird communities of Bryn Titli, mid-Wales: 1993-1994. Newtown, RSPB","Buteo	buteo",0.5,0.875,4,14,450,22,1
10,"Phillips, J. F. (1994). The effects of a windfarm on the upland breeding bird communities of Bryn Titli, mid-Wales: 1993-1994. Newtown, RSPB","Ficedula	hypoleuca",0.5,1.125,4,14,450,22,1
10,"Phillips, J. F. (1994). The effects of a windfarm on the upland breeding bird communities of Bryn Titli, mid-Wales: 1993-1994. Newtown, RSPB","Pica	pica",0.66666667,0.625,4,14,450,22,1
10,"Phillips, J. F. (1994). The effects of a windfarm on the upland breeding bird communities of Bryn Titli, mid-Wales: 1993-1994. Newtown, RSPB","Regulus	regulus",0.66666667,1,4,14,450,22,1
10,"Phillips, J. F. (1994). The effects of a windfarm on the upland breeding bird communities of Bryn Titli, mid-Wales: 1993-1994. Newtown, RSPB",Emberiza citrinella,0.83333333,0.125,4,14,450,22,1
10,"Phillips, J. F. (1994). The effects of a windfarm on the upland breeding bird communities of Bryn Titli, mid-Wales: 1993-1994. Newtown, RSPB","Sylvia	borin",1,0.125,4,14,450,22,1
10,"Phillips, J. F. (1994). The effects of a windfarm on the upland breeding bird communities of Bryn Titli, mid-Wales: 1993-1994. Newtown, RSPB",Muscicapa striata,1,0.5,4,14,450,22,1
10,"Phillips, J. F. (1994). The effects of a windfarm on the upland breeding bird communities of Bryn Titli, mid-Wales: 1993-1994. Newtown, RSPB","Motacilla	alba",1,1,4,14,450,22,1
10,"Phillips, J. F. (1994). The effects of a windfarm on the upland breeding bird communities of Bryn Titli, mid-Wales: 1993-1994. Newtown, RSPB","Carduelis	flammea",1,1,4,14,450,22,1
10,"Phillips, J. F. (1994). The effects of a windfarm on the upland breeding bird communities of Bryn Titli, mid-Wales: 1993-1994. Newtown, RSPB","Parus	major",1.16666667,0.5,4,14,450,22,1
10,"Phillips, J. F. (1994). The effects of a windfarm on the upland breeding bird communities of Bryn Titli, mid-Wales: 1993-1994. Newtown, RSPB","Oenanthe	oenanthe",1.16666667,1.5,4,14,450,22,1
10,"Phillips, J. F. (1994). The effects of a windfarm on the upland breeding bird communities of Bryn Titli, mid-Wales: 1993-1994. Newtown, RSPB","Parus	caeruleus",1.33333333,1.125,4,14,450,22,1
10,"Phillips, J. F. (1994). The effects of a windfarm on the upland breeding bird communities of Bryn Titli, mid-Wales: 1993-1994. Newtown, RSPB",Turdus philomelos,1.5,0.75,4,14,450,22,1
10,"Phillips, J. F. (1994). The effects of a windfarm on the upland breeding bird communities of Bryn Titli, mid-Wales: 1993-1994. Newtown, RSPB","Carduelis	cannabina",1.5,3.25,4,14,450,22,1
10,"Phillips, J. F. (1994). The effects of a windfarm on the upland breeding bird communities of Bryn Titli, mid-Wales: 1993-1994. Newtown, RSPB",Anthus trivialis,1.66666667,1.375,4,14,450,22,1
10,"Phillips, J. F. (1994). The effects of a windfarm on the upland breeding bird communities of Bryn Titli, mid-Wales: 1993-1994. Newtown, RSPB","Turdus	merula",2,1.625,4,14,450,22,1
10,"Phillips, J. F. (1994). The effects of a windfarm on the upland breeding bird communities of Bryn Titli, mid-Wales: 1993-1994. Newtown, RSPB","Phoenicurus	phoenicurus",3.33333333,2,4,14,450,22,1
10,"Phillips, J. F. (1994). The effects of a windfarm on the upland breeding bird communities of Bryn Titli, mid-Wales: 1993-1994. Newtown, RSPB",Saxicola rubetra,3.66666667,5.375,4,14,450,22,1
10,"Phillips, J. F. (1994). The effects of a windfarm on the upland breeding bird communities of Bryn Titli, mid-Wales: 1993-1994. Newtown, RSPB",Troglodytes troglodytes,5.16666667,4.75,4,14,450,22,1
10,"Phillips, J. F. (1994). The effects of a windfarm on the upland breeding bird communities of Bryn Titli, mid-Wales: 1993-1994. Newtown, RSPB",Erithacus rubecula,5.3,2.5,4,14,450,22,1
10,"Phillips, J. F. (1994). The effects of a windfarm on the upland breeding bird communities of Bryn Titli, mid-Wales: 1993-1994. Newtown, RSPB",Phylloscopus trochilus,6.83333333,6.125,4,14,450,22,1
10,"Phillips, J. F. (1994). The effects of a windfarm on the upland breeding bird communities of Bryn Titli, mid-Wales: 1993-1994. Newtown, RSPB","Fringilla	coelebs",7.66666667,6.875,4,14,450,22,1
